what,kind,bundleId,bundleVersion,description,time
java.specification.name,sysinfo,,,"Java Platform API Specification",1270171314812
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1270171314812
java.specification.version,sysinfo,,,"1.6",1270171314812
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1270171314812
java.version,sysinfo,,,"1.6.0_13",1270171314812
java.vm.info,sysinfo,,,"mixed mode",1270171314812
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1270171314812
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1270171314812
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1270171314812
java.vm.specification.version,sysinfo,,,"1.0",1270171314812
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1270171314812
java.vm.version,sysinfo,,,"11.3-b02",1270171314812
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270171333140
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270171339296
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270171339421
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1270171339734
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1270171339734
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.306.v200810082309,"org.eclipse.jst.ws.axis.consumption.core",1270171339734
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.103.v200807162242,"org.eclipse.jst.ws.axis2.creation.ui",1270171339734
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.102.v200807232000,"org.eclipse.jst.ws.axis2.consumption.ui",1270171339734
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.105.v200901220134,"org.eclipse.jst.ws.axis2.creation.core",1270171339750
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.104.v200810151442,"org.eclipse.jst.ws.axis2.consumption.core",1270171339750
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.302.v200905260749,"org.eclipse.jst.ws.axis2.ui",1270171339750
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1270735103593
started,bundle,org.eclipse.osgi,3.5.2.R35x_v20100126,"org.eclipse.osgi",1270735103593
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.101.R35x_v20090807-1100,"org.eclipse.equinox.simpleconfigurator",1270735103593
started,bundle,com.ibm.icu,4.0.1.v20090822,"com.ibm.icu",1270735103593
started,bundle,org.eclipse.core.contenttype,3.4.1.R35x_v20090826-0451,"org.eclipse.core.contenttype",1270735103593
started,bundle,org.eclipse.core.databinding.observable,1.2.0.M20090902-0800,"org.eclipse.core.databinding.observable",1270735103593
started,bundle,org.eclipse.core.expressions,3.4.101.R35x_v20100209,"org.eclipse.core.expressions",1270735103593
started,bundle,org.eclipse.core.filebuffers,3.5.0.v20090526-2000,"org.eclipse.core.filebuffers",1270735103593
started,bundle,org.eclipse.core.filesystem,1.2.1.R35x_v20091203-1235,"org.eclipse.core.filesystem",1270735103609
